id,source_date_accessed,source_id,author,year,gender,genre,title,format,catalogue_numbers
1231,20100817,1816A035,Mrs J. JENNER,1816,Female,,"MELMOTH HOUSE: A NOVEL. IN THREE VOLUMES, BY MRS. J. JENNER","3 vols (I iv, 250p; II 265p; III 270p). 12&deg;",Corvey; CME 3-628-47988-6; EN2 1816: 36; NSTC 2J4726; OCLC 13406941
1232,20100817,1816A036,Mary JOHNSTON,1816,Female,,"THE LAIRDS OF GLENFERN; OR, HIGHLANDERS OF THE NINETEENTH CENTURY. A TALE. IN TWO VOLUMES. BY MARY JOHNSTON","2 vols (I vi, 245p; II 236p). 12&deg;",Corvey; CME 3-628-47990-8; ECB 310; EN2 1816: 37; NSTC 2J9505; OCLC 3251707
1234,20100817,1816A038,Mrs KELLY,1816,Female,,THE MATRON OF ERIN: A NATIONAL TALE. IN THREE VOLUMES,3 vols (I 334p; II 306p; III 359p). 12&deg;,Corvey; CME 3-628-47463-9; ECB 373; EN2 1816: 39; NSTC 2K2013; OCLC 39792600
1235,20100817,1816A039,Lady Caroline LAMB,1816,Female,,GLENARVON. IN THREE VOLUMES,3 vols (I 295p; II 390p; III 322p). 12&deg;,BL N.1834-36; ECB 233; EN2 1816: 40; NSTC 2L2306; OCLC 23805655
1236,20100817,1816A040,Agnes LANCASTER,1816,Female,,"THE ABBESS OF VALTIERA; OR, THE SORROWS OF A FALSEHOOD. A ROMANCE. IN FOUR VOLUMES. BY AGNES LANCASTER",4 vols (I 265p; II 252p; III 236p; IV 238p). 12&deg;,Corvey; CME 3-628-47897-9; EN2 1816: 41; NSTC 2L3129; OCLC 46646890
1237,20100817,1816A041,Jemima LAYTON,1816,Female,,"SPANISH TALES, TRANSLATED FROM LE SAGE, AND SELECTED FROM OTHER AUTHORS: WHEREIN ARE CONTAINED A DESCRIPTION OF MADRID, GRENADA, SARAGOZA, SEVILLE, MILAN, PARMA, PALERMO, &C. &C. BY MRS. FREDERICK LAYTON. IN THREE VOLUMES","3 vols (I xiii, 248p; II 273p; III 275p). 12&deg;",BL 837.c.34; ECB 335; EN2 1816: 42; NSTC 2L7465; OCLC 11216904
1238,20100817,1816A042,Alicia LEFANU,1816,Female,,"STRATHALLAN. BY ALICIA LEFANU, GRAND-DAUGHTER TO THE LATE THOMAS SHERIDAN, M.A. IN FOUR VOLUMES","4 vols (I iv, 536p; II 363p; III 344p; IV 305p). 12&deg;",Corvey; CME 3-628-47978-9; ECB 336; EN2 1816: 43; NSTC 2L9899; OCLC 6876604
1240,20100817,1816A044,Mary Anne M'MULLAN,1816,Female,,"THE WANDERINGS OF A GOLDFINCH; OR, CHARACTERISTIC SKETCHES IN THE NINETEENTH CENTURY","1 vol.  (vii, xii, 355p). 8&deg;",BL 1457.h.8; EN2 1816: 44; NSTC 2M7531; OCLC 13320889
1241,20100817,1816A045,Henrietta Rouviere MOSSE,1816,Female,?|monk,"CRAIGH-MELROSE PRIORY; OR, MEMOIRS OF THE MOUNT LINTON FAMILY. A NOVEL. IN FOUR VOLUMES","4 vols (I vii, 347p; II 307p; III 332p; IV 311p). 12&deg;",Corvey; CME 3-628-47347-0; EN2 1816: 45; NSTC 2C41946; OCLC 19877149
1242,20100817,1816A046,Charlotte NOOTH,1816,Female,,"EGLANTINE; OR, THE FAMILY OF FORTESCUE. A NOVEL. IN TWO VOLUMES. BY CHARLOTTE NOOTH","2 vols (I xi, 300p; II 321p). 12&deg;",Corvey; CME 3-628-48233-X; EN2 1816: 46; NSTC 2N9605; xOCLC
1243,20100817,1816A047,Amelia Alderson OPIE,1816,Female,,VALENTINE'S EVE. BY MRS. OPIE. IN THREE VOLUMES,3 vols (I 348p; II 388p; III 240p). 12&deg;,BL N.1675-77; ECB 423; EN2 1816: 47; NSTC 2O4405; OCLC 2341877
1244,20100817,1816A048,Emma PARKER,1816,Female,,"SELF-DECEPTION. IN A SERIES OF LETTERS. BY EMMA PARKER, AUTHOR OF ""THE GUERRILLA CHIEF,"" ""ARETAS,"" &C. &C","2 vols (I iv, 326p; II 324p). 12&deg;",Corvey; CME 3-628-48387-5; ECB 433; EN2 1816: 48; NSTC 2P3702; xOCLC
1247,20100817,1816A051,Caroline SCOTT,1816,Female,,"HERMIONE; OR, THE DEFAULTER. A NOVEL. IN TWO VOLUMES. BY CAROLINE SCOTT",2 vols (I 231p; II 223p). 12&deg;,Corvey; CME 3-628-48537-1; ECB 520; EN2 1816: 51; NSTC 2S8312; xOCLC
1250,20100817,1816A054,Mary Ann SULLIVAN,1816,Female,,"OWEN CASTLE, OR, WHICH IS THE HEROINE? A NOVEL. IN FOUR VOLUMES. DEDICATED BY PERMISSION TO THE RIGHT HONOURABLE LADY COMBERMERE, BY MARY ANN SULLIVAN, LATE OF THE THEATRES ROYAL, LIVERPOOL, MANCHESTER, NEWCASTLE, BIRMINGHAM, AND NORWICH","4 vols (I iv, 292p; II 264p; III 244p; IV 227p). 12&deg;",Corvey; CME 3-628-48729-3; ECB 568; EN2 1816: 54; NSTC 2S46208; xOCLC
1253,20100817,1816A057,Elizabeth THOMAS,1816,Female,,"PURITY OF HEART, OR THE ANCIENT COSTUME, A TALE, IN ONE VOLUME, ADDRESSED TO THE AUTHOR OF GLENARVON. BY AN OLD WIFE OF TWENTY YEARS","1 vol.  (viii, 273p). 12&deg;",BL N.1945; ECB 475; EN2 1816: 57; NSTC 2T8193; OCLC 13354448
1255,20100817,1816A059,Sophia F. ZIEGENHIRT,1816,Female,,"THE ORPHAN OF TINTERN ABBEY. A NOVEL. IN THREE VOLUMES. BY SOPHIA F. ZIEGENHIRT, AUTHOR OF SEABROOK VILLAGE, AND SEVERAL HISTORICAL ABRIDGEMENTS",3 vols (I 220p; II 253p; III 258p). 12&deg;,Corvey; CME 3-628-49000-6; ECB 655; EN2 1816: 59; NSTC 2Z321; xOCLC
1267,20100817,1817A012,Amelia BEAUCLERC,1817,Female,,"THE DESERTER. A NOVEL. IN FOUR VOLUMES. BY AMELIA BEAUCLERC, AUTHOR OF MONTREITHE, OR THE PEER OF SCOTLAND; HUSBAND HUNTERS, &C. &C",4 vols (I 263p; II 245p; III 217p; IV 245p). 12&deg;,Corvey; CME 3-628-47131-1; ECB 45; EN2 1817: 12; NSTC 2B13633; OCLC 15680427
1271,20100817,1817A016,Marianne BRETON,1817,Female,,"THE WIFE OF FITZALICE, AND THE CALEDONIAN SIREN. A ROMANCE, WITH HISTORICAL NOTES. IN FIVE VOLUMES. BY MARIANNE BRETON","5 vols (I xii, 268p; II 308p; III 282p; IV 260p; V 290p). 12&deg;",Corvey; CME 3-628-47195-8; ECB 73; EN2 1817: 16; NSTC 2B47097; xOCLC
1273,20100817,1817A018,Emily CLARK,1817,Female,,"TALES AT THE FIRE SIDE; OR, A FATHER AND MOTHER'S STORIES. IN THREE VOLUMES. DEDICATED BY PERMISSION TO COLONEL M'MAHON. BY MISS EMILY CLARK, GRAND-DAUGHTER OF THE UNFORTUNATE COLONEL FREDERICK, AND AUTHOR OF THE BANKS OF THE DOURO, POEMS, &C. &C",3 vols (I 223p; II 216p; III 204p). 12&deg;,BL N.1711; ECB 118; EN2 1817: 18; NSTC 2C23241; xOCLC
1274,20100817,1817A019,Harriet CORP,1817,Female,,"COELEBS DECEIVED. BY THE AUTHOR OF ""AN ANTIDOTE TO THE MISERIES OF HUMAN LIFE,"" ""COTTAGE SKETCHES,"" &C. &C","2 vols (I xi, 189p; II 185p). 12&deg;",Corvey; CME 3-628-47301-2; ECB 123; EN2 1817: 19; NSTC 2C38495; xOCLC
1275,20100817,1817A020,Catherine CUTHBERTSON,1817,Female,?|romance,"ROSABELLA: OR, A MOTHER'S MARRIAGE. A NOVEL. IN FIVE VOLUMES. BY THE AUTHOR OF THE ROMANCE OF THE PYRENEES; SANTO SEBASTIANO, OR, THE YOUNG PROTECTOR; THE FOREST OF MONTALBANO; AND ADELAIDE, OR, THE COUNTERCHARM",5 vols (I 352p; II 348p; III 346p; IV 335p; V 396p). 12&deg;,Corvey; CME 3-628-48512-6; ECB 502; EN2 1817: 20; NSTC 2C48146; OCLC 6715975
1276,20100817,1817A021,Azil&#233; D'ARCY,1817,Female,,PREJUDICE; OR PHYSIOGNOMY. A NOVEL. IN THREE VOLUMES. BY AZIL&#201; D'ARCY,3 vols (I 221p; II 233p; III 223p). 12&deg;,Corvey; CME 3-628-47419-1; ECB 152; EN2 1817: 21; NSTC 2D2851; xOCLC
1277,20100817,1817A022,Selina DAVENPORT,1817,Female,,"LEAP YEAR; OR WOMAN'S PRIVILEGE. A NOVEL. IN FIVE VOLUMES. BY SELINA DAVENPORT, AUTHOR OF THE HYPOCRITE, OR MODERN JANUS; DONALD MONTEITH; ORIGINAL OF THE MINIATURE, &C. &C",5 vols (I 209p; II 214p; III 211p; IV 235p; V 185p). 12&deg;,Corvey; CME 3-628-47372-1; ECB 153; EN2 1817: 22; NSTC 2D3611; xOCLC
1279,20100817,1817A024,Maria EDGEWORTH,1817,Female,goth,"HARRINGTON, A TALE; AND ORMOND, A TALE. IN THREE VOLUMES. BY MARIA EDGEWORTH, AUTHOR OF COMIC DRAMAS, TALES OF FASHIONABLE LIFE, &C. &C","3 vols (I iv, 521p; II 422p; III 352p). 12&deg;",BRu ENC; ECB 178; EN2 1817: 24; NSTC 2E2217; OCLC 621791
