id,source,source_id,author,year,gender,genre,title,format,catalogue_numbers
1074,20100817,1813A058,Anne Louise Germaine de STA&#203;L-HOLSTEIN,1813,Female,?|potgoth,"ZULMA, AND OTHER TALES: TO WHICH IS PREFIXED AN ESSAY ON FICTIONS. BY THE BARONESS DE STAEL HOLSTEIN. TRANSLATED FROM THE FRENCH. IN TWO VOLUMES",2 vols (I 187p; II 201p). 12&deg;,BL 12510.e.15; ECB 557; EN2 1813: 57; NSTC S3443; OCLC 10739507
1082,20100817,1814A002,Lucy AIKIN,1814,Female,?|potgoth,LORIMER. A TALE,1 vol.  (230p). 12&deg;,BL N.2495; ECB 353; EN2 1814: 10; NSTC A691; OCLC 20186820
1108,20100817,1814A028,Mary Ann HANWAY,1814,Female,?|potgoth,"CHRISTABELLE, THE MAID OF ROUEN. A NOVEL, FOUNDED ON FACTS. BY MRS. HANWAY, AUTHOR OF ""ELLINOR,"" ""ANDREW STUART,"" AND ""FALCONBRIDGE ABBEY."" IN FOUR VOLUMES","4 vols (I xiii, 335p; II 351p; III 320p; IV 322p). 12&deg;",Corvey; CME 3-628-47600-3; ECB 254; EN2 1814: 26; NSTC H476; OCLC 6778852
1124,20100817,1814A044,Adelaide O'KEEFFE,1814,Female,?|potgoth,"ZENOBIA, QUEEN OF PALMYRA; A NARRATIVE, FOUNDED ON HISTORY. IN TWO VOLUMES. BY THE AUTHOR OF PATRIARCHAL TIMES","2 vols (I viii, 347p; II viii, 310p). 12&deg;",Corvey; CME 3-628-48247-X; ECB 421; EN2 1814: 43; NSTC Z39; OCLC 14404958
1127,20100817,1814A047,Elizabeth PINCHARD,1814,Female,?|potgoth,MYSTERY AND CONFIDENCE: A TALE. BY A LADY. IN THREE VOLUMES,3 vols (I 230p; II 222p; III 199p). 12&deg;,Corvey; CME 3-628-48183-X; ECB 403; EN2 1814: 45; NSTC P1795; OCLC 41891926
1128,20100817,1814A048,Anna Maria PORTER,1814,Female,?|potgoth,THE RECLUSE OF NORWAY. BY MISS ANNA MARIA PORTER. IN FOUR VOLUMES,"4 vols (I viii, 247p; II 317p; III 300p; IV 333p). 12&deg;",Corvey; CME 3-628-48302-6; ECB 464; EN2 1814: 46; NSTC P2592; OCLC 6972377
1181,20100817,1815A038,Elizabeth PINCHARD,1815,Female,?|potgoth,"THE WARD OF DELAMERE, A TALE. IN THREE VOLUMES. BY MRS. PINCHARD, AUTHOR OF ""MYSTERY AND CONFIDENCE, THE BLIND CHILD, &C."" INSCRIBED, BY PERMISSION, TO MRS. G. A. ROBINSON",3 vols (I 308p; II 324p; III 328p). 12&deg;,Corvey; CME 3-628-48472-3; ECB 451; EN2 1815: 40; NSTC P1796; OCLC 10476883
1216,20100817,1816A020,Sarah Harriet BURNEY,1816,Female,?|potgoth,"TALES OF FANCY: BY S. H. BURNEY, AUTHOR OF 'CLARENTINE,' 'GERALDINE FAUCONBERG,' AND 'TRAITS OF NATURE.'","3 vols (I (1816) viii, 400p; II (1820) 432p; III (1820) 470p). 12&deg;",MH-H 18477.42.2; ECB 87; EN2 1816: 20; NSTC 2B60607; OCLC 11715314
1231,20100817,1816A035,Mrs J. JENNER,1816,Female,?|potgoth,"MELMOTH HOUSE: A NOVEL. IN THREE VOLUMES, BY MRS. J. JENNER","3 vols (I iv, 250p; II 265p; III 270p). 12&deg;",Corvey; CME 3-628-47988-6; EN2 1816: 36; NSTC 2J4726; OCLC 13406941
1238,20100817,1816A042,Alicia LEFANU,1816,Female,?|potgoth,"STRATHALLAN. BY ALICIA LEFANU, GRAND-DAUGHTER TO THE LATE THOMAS SHERIDAN, M.A. IN FOUR VOLUMES","4 vols (I iv, 536p; II 363p; III 344p; IV 305p). 12&deg;",Corvey; CME 3-628-47978-9; ECB 336; EN2 1816: 43; NSTC 2L9899; OCLC 6876604
1255,20100817,1816A059,Sophia F. ZIEGENHIRT,1816,Female,?|potgoth,"THE ORPHAN OF TINTERN ABBEY. A NOVEL. IN THREE VOLUMES. BY SOPHIA F. ZIEGENHIRT, AUTHOR OF SEABROOK VILLAGE, AND SEVERAL HISTORICAL ABRIDGEMENTS",3 vols (I 220p; II 253p; III 258p). 12&deg;,Corvey; CME 3-628-49000-6; ECB 655; EN2 1816: 59; NSTC 2Z321; xOCLC
1280,20100817,1817A025,Alicia Margaret ENNIS,1817,Female,?|potgoth,MEMOIRS OF THE MONTAGUE FAMILY. IN THREE VOLUMES,"3 vols (I vii, 506p; II 509p; III 499p). 12&deg;",Corvey; CME 3-628-48065-5; EN2 1817: 25; NSTC 2M33576; OCLC 7819094
1344,20100817,1818A034,Anne Julia Kemble HATTON,1818,Female,?|potgoth,"SECRETS IN EVERY MANSION; OR THE SURGEON'S MEMORANDUM-BOOK. A SCOTTISH RECORD. IN FIVE VOLUMES. BY ANNE OF SWANSEA, AUTHOR OF CAMBRIAN PICTURES, SICILIAN MYSTERIES, CONVICTION, SECRET AVENGERS, CHRONICLES OF AN ILLUSTRIOUS HOUSE, GONZALO DE BALDIVIA, &C","5 vols (I xv, 310p; II 356p; III 370p; IV 390p; V 344p). 12&deg;",Corvey; CME 3-628-48806-0; ECB 20; EN2 1818: 34; NSTC 2A13195; xOCLC
1345,20100817,1818A035,"Miss C. D. HAYNES [afterwards GOLLAND, Mrs C. D.]",1818,Female,?|potgoth,"THE FOUNDLING OF DEVONSHIRE; OR, ""WHO IS SHE?"" A NOVEL. IN FIVE VOLUMES. BY MISS C. D. HAYNES, AUTHOR OF CASTLE LE BLANC, &C. &C","5 vols (I viii, 240p; II 266p; III 259p; IV 260p; V 270p). 12&deg;",Corvey; CME 3-628-47717-4; ECB 260; EN2 1818: 35; NSTC 2H14181; xOCLC
1362,20100817,1818A052,Anna Maria PORTER,1818,Female,?|potgoth,"THE FAST OF ST. MAGDALEN, A ROMANCE. BY ANNA MARIA PORTER. IN THREE VOLUMES",3 vols (I 347p; II 317p; III 346p). 12&deg;,BL 12612.ee.15; ECB 463; EN2 1818: 52; NSTC 2P22246; OCLC 3596752
1411,20100817,1819A039,Jane HARVEY,1819,Female,?|potgoth,"ANY THING BUT WHAT YOU EXPECT. BY JANE HARVEY, AUTHOR OF MONTEITH&#8212;ETHELIA&#8212;MEMOIRS OF AN AUTHOR&#8212;RECORDS OF A NOBLE FAMILY, ETC. ETC. ETC. IN THREE VOLUMES",3 vols (I 334p; II 315p; III 311p). 12&deg;,Corvey; CME 3-628-47632-1; ECB 257; EN2 1819: 39; xNSTC; xOCLC
1441,20100817,1819A069,Zara WENTWORTH,1819,Female,?|potgoth,THE RECLUSE OF ALBYN HALL. A NOVEL. IN THREE VOLUMES. BY ZARA WENTWORTH,3 vols (I 242p; II 258p; III 264p). 12&deg;,Corvey; CME 3-628-48891-5; ECB 630; EN2 1819: 69; NSTC 2W12930; OCLC 49448895
